engine_rpm,lub_oil_pressure,fuel_pressure,coolant_pressure,lub_oil_temp,coolant_temp,engine_condition
652,2.470623222,6.687443077,1.477212818,75.65652309,76.42506398,1
859,2.982877818,10.49009466,1.861812172,76.02175292,78.77792016,1
1118,2.30211117,9.866151477,1.364154766,75.63620765,89.44191979,0
670,2.898378477,5.922107067,2.905567821,74.11879542,67.73687329,1
756,2.795454552,4.141878738,1.541337491,74.59079474,76.42680449,0
673,3.726864873,4.041011981,1.303336629,75.43247429,75.17040555,0
424,3.576587005,4.682466438,2.440665812,76.89342545,74.76785078,1
704,4.646957985,1.930691371,3.361737194,78.12174162,75.73571426,0
426,4.075708027,3.017942262,0.869608611,74.22385674,72.51437024,1
995,2.97420582,6.579687173,1.89039342,76.34979003,86.77194382,1
1035,3.504249412,10.83670438,2.52081479,76.67564701,79.03622192,1
1035,4.378047521,8.487750599,1.028000809,75.88252239,86.90468234,1
846,3.09166162,6.333016964,1.487772119,75.75969301,84.9565176,1
1065,2.892719309,2.413432085,1.604096579,76.79196508,85.9110307,0
775,5.421003804,11.31205854,2.691627289,76.44283557,83.08107568,0
872,3.313780745,7.33699729,1.631873479,77.82973994,81.08317531,0
780,4.71701366,6.541896053,1.303481428,87.79319765,79.38836427,0
960,2.826250041,4.796471177,2.120675306,75.22926503,79.70485546,1
418,3.233637024,6.637373089,2.726156602,78.38688639,81.78994587,1
953,4.524189544,6.591307372,1.829776386,76.36687018,89.38256392,0
632,2.210107383,5.564554441,2.424056766,84.52940817,81.68886539,1
1332,3.298115805,5.024057971,0.803023265,75.93586984,76.39700704,0
1316,3.116635868,6.461735186,1.338442244,76.63993434,74.83898737,0
685,2.135644461,6.553194682,2.871375149,74.4246183,77.51788052,1
610,3.699904418,2.994058477,1.464873665,76.60083998,82.49583888,1
554,4.275605633,5.459291135,1.319507516,80.68270348,81.22732353,1
795,2.473084727,7.742195129,5.650745657,84.20116946,83.8563945,1
861,3.721114858,7.218216419,0.617417654,76.08714562,73.72302403,0
744,2.114449847,4.941776552,1.532507516,77.06476618,75.10584021,0
677,2.901497371,1.037127307,1.683077666,84.45512447,71.06766624,1
550,5.106337489,5.934182957,1.997549407,77.01175064,73.5521676,1
971,2.540761216,8.873455021,2.933499675,76.56447332,81.70265146,0
1400,3.627284331,6.595786123,2.643647488,74.99247673,75.4870706,0
